STUDY_ID	SAMPLE_ID	EGFR
gbm_tcga_pub2013	TCGA-19-2620-01	15634.81
gbm_tcga_pub2013	TCGA-19-2621-01	NA
gbm_tcga_pub2013	TCGA-19-2623-01	NA
gbm_tcga_pub2013	TCGA-19-2624-01	32741.71
gbm_tcga_pub2013	TCGA-19-2625-01	1009.99
gbm_tcga_pub2013	TCGA-19-2629-01	3301.94
gbm_tcga_pub2013	TCGA-19-2631-01	NA
gbm_tcga_pub2013	TCGA-19-4068-01	NA
gbm_tcga_pub2013	TCGA-19-5947-01	NA
gbm_tcga_pub2013	TCGA-19-5950-01	NA
gbm_tcga_pub2013	TCGA-19-5951-01	NA
gbm_tcga_pub2013	TCGA-19-5952-01	NA
gbm_tcga_pub2013	TCGA-19-5954-01	NA
gbm_tcga_pub2013	TCGA-19-5955-01	NA
gbm_tcga_pub2013	TCGA-19-5956-01	NA
gbm_tcga_pub2013	TCGA-19-5958-01	NA
gbm_tcga_pub2013	TCGA-19-5959-01	NA
gbm_tcga_pub2013	TCGA-19-5960-01	42952.64
gbm_tcga_pub2013	TCGA-26-1438-01	NA
gbm_tcga_pub2013	TCGA-26-1439-01	NA
gbm_tcga_pub2013	TCGA-26-1440-01	NA
gbm_tcga_pub2013	TCGA-26-1442-01	2667.93
gbm_tcga_pub2013	TCGA-26-1443-01	NA
gbm_tcga_pub2013	TCGA-26-1799-01	NA
gbm_tcga_pub2013	TCGA-26-5132-01	29807.53
gbm_tcga_pub2013	TCGA-26-5133-01	912
gbm_tcga_pub2013	TCGA-26-5134-01	322
gbm_tcga_pub2013	TCGA-26-5135-01	615.98
gbm_tcga_pub2013	TCGA-26-5136-01	2057.97
gbm_tcga_pub2013	TCGA-26-5139-01	21260.74
gbm_tcga_pub2013	TCGA-26-6173-01	NA
gbm_tcga_pub2013	TCGA-26-6174-01	NA
gbm_tcga_pub2013	TCGA-27-1830-01	1734.95
gbm_tcga_pub2013	TCGA-27-1831-01	4874.61
gbm_tcga_pub2013	TCGA-27-1832-01	1621.97
gbm_tcga_pub2013	TCGA-27-1833-01	NA
gbm_tcga_pub2013	TCGA-27-1834-01	2528.95
gbm_tcga_pub2013	TCGA-27-1835-01	788.99
gbm_tcga_pub2013	TCGA-27-1836-01	NA
gbm_tcga_pub2013	TCGA-27-1837-01	13200.27
gbm_tcga_pub2013	TCGA-27-1838-01	NA
gbm_tcga_pub2013	TCGA-27-2518-01	NA
gbm_tcga_pub2013	TCGA-27-2519-01	797.99
gbm_tcga_pub2013	TCGA-27-2521-01	4352.86
gbm_tcga_pub2013	TCGA-27-2523-01	8798.61
gbm_tcga_pub2013	TCGA-27-2524-01	470
gbm_tcga_pub2013	TCGA-27-2526-01	42267.84
gbm_tcga_pub2013	TCGA-27-2527-01	NA
gbm_tcga_pub2013	TCGA-27-2528-01	33146.84
gbm_tcga_pub2013	TCGA-28-1745-01	NA
gbm_tcga_pub2013	TCGA-28-1746-01	NA
gbm_tcga_pub2013	TCGA-28-1747-01	21430.26
gbm_tcga_pub2013	TCGA-28-1749-01	NA
gbm_tcga_pub2013	TCGA-28-1750-01	NA
gbm_tcga_pub2013	TCGA-28-1751-01	NA
gbm_tcga_pub2013	TCGA-28-1752-01	NA
gbm_tcga_pub2013	TCGA-28-1753-01	8631.79
gbm_tcga_pub2013	TCGA-28-1755-01	NA
gbm_tcga_pub2013	TCGA-28-1756-01	NA
gbm_tcga_pub2013	TCGA-28-1757-01	NA
gbm_tcga_pub2013	TCGA-28-1760-01	NA
gbm_tcga_pub2013	TCGA-28-2499-01	55018.5
gbm_tcga_pub2013	TCGA-28-2502-01	NA
gbm_tcga_pub2013	TCGA-28-2506-01	NA
gbm_tcga_pub2013	TCGA-28-2509-01	2019.99
