,0
1255,TRAK1
1256,CLCN5
1257,SDCBP
1258,ATXN1
1259,EFCAB2
1260,IQCE
1261,RXRA
1262,XRCC2
1263,MCRS1
1264,IFI27L2
1265,RBPMS
1266,ANKRD36C
1267,CCDC6
1268,LRRC4B
1269,NCAPD2
1270,MBNL1
1271,FAM222B
1272,PABPC4
1273,C11orf80
1274,SYN3
1275,PRC1
1276,RAI14
1277,GOLPH3
1278,CHSY1
1279,SLC2A1
1280,SMARCD2
1281,NPC2
1282,PTPRM
1283,RGS3
1284,NAMPT
1285,UBE2L6
1286,ATP13A1
1287,POLRMT
1288,SPPL3
1289,CDKN1A
1290,FOXJ3
1291,MLLT3
1292,ACAA2
1293,TRERF1
1294,MEIS2
1295,PPIP5K2
1296,ARHGEF3
1297,TSPAN11
1298,CCDC102B
1299,FOXO1
1300,PIK3R3
1301,ADAMTS3
1302,C11orf24
1303,VWA8
1304,HAGH
1305,RNF214
1306,TSTA3
1307,EVA1C
1308,MKI67
1309,SYT1
1310,PARPBP
1311,MAP1S
1312,SLC2A10
1313,UBAC1
1314,HECTD2
1315,AHDC1
1316,GARS
1317,SCAPER
1318,UBL7
1319,PGAP1
1320,SLC1A5
1321,LINC00662
1322,HJURP
1323,STRN4
1324,NEDD4L
1325,DOCK3
1326,CHST8
1327,ASCC1
1328,IGFBP7
1329,PTK2B
1330,MRPL10
1331,CHI3L1
1332,ZNF197
1333,SRGAP1
1334,SLC38A1
1335,KIAA1211
1336,DPM1
1337,CIT
1338,METTL8
1339,HTT
1340,RRP15
1341,PRPF38B
1342,SUCLG2
1343,PYCR1
1344,CNTNAP3B
1345,MICAL3
1346,CHSY3
1347,TROAP
1348,VPS13D
1349,E2F1
1350,CTSF
1351,BTBD9
1352,TPP1
1353,OLFML2A
1354,STXBP5
1355,PDGFRA
1356,CACNA2D1
1357,SHC1
1358,CAMTA2
1359,TBL1X
1360,IFT140
1361,MYO18A
1362,MIRLET7BHG
1363,MCC
1364,IRS2
1365,DPP7
1366,TENM3
1367,MAN1C1
1368,PEX14
1369,LCORL
1370,MIR222HG
1371,SCFD2
1372,VAC14
1373,ASCL1
1374,BACH1
1375,LRRN3
1376,RILPL2
1377,ASAP3
1378,RIPOR1
1379,NAA50
1380,PAPD7
1381,ABCA2
1382,REXO2
1383,S100B
1384,SVIL
1385,UBE2S
1386,XPO6
1387,XIST
1388,LINC00609
1389,MALT1
1390,PROSER3
1391,PALLD
1392,TRAPPC10
1393,ASAP2
1394,GSE1
1395,TOX
1396,NNT-AS1
1397,SLC35D1
1398,ANXA4
1399,URGCP
1400,NT5C2
1401,HDAC5
1402,ZNF100
1403,CRB2
1404,ZFP30
1405,PARN
1406,HIPK1
1407,MT2A
1408,FBXO22
1409,GSK3B
1410,NFU1
1411,CAMKMT
1412,CDKAL1
1413,THUMPD3-AS1
1414,HMCN1
1415,UGCG
1416,ITIH5
1417,PDLIM7
1418,RECK
1419,GCDH
1420,DCTN3
1421,SOX5
1422,CENPU
1423,ABTB2
1424,HSPA4L
1425,FANCI
1426,CHST2
1427,INO80
1428,RND3
1429,JAG1
1430,BAG1
1431,LDHA
1432,NID1
1433,BTBD3
1434,BTG3
1435,ATP5D
1436,ARHGAP11A
1437,NEAT1
1438,PUS7L
1439,WASHC5
1440,OGT
1441,SMARCA5
1442,EIF3E
1443,TAF3
1444,STK39
1445,DTNB
1446,SYT14
1447,VAV3
1448,MVB12B
1449,PARD3
1450,AURKA
1451,TM2D1
1452,RNF38
1453,NR4A1
1454,RFX3
1455,COL5A3
1456,NCKAP5
1457,MBD4
1458,ZMAT3
1459,ATP8B2
1460,NOP2
1461,RCAN1
1462,MTHFD2
1463,CCNF
1464,STARD4
1465,MCTS1
1466,RIC8B
1467,SLC39A14
1468,AKIRIN2
1469,SEMA3C
1470,FBXO42
1471,GMFB
1472,CDHR3
1473,AGAP1
1474,ENG
1475,PTDSS1
1476,TRIM25
1477,MCM10
1478,P4HA1
1479,RAPGEF2
1480,SEMA3A
1481,HCG17
1482,FAM69A
1483,DNAJC22
1484,POLE
1485,ELAVL3
1486,ZNF788
1487,STXBP5L
1488,KIF18A
1489,HS6ST1
1490,ACAT1
1491,PDZRN3
1492,ZBTB20
1493,MRPL11
1494,SIGMAR1
1495,MBNL2
1496,PLD3
1497,NUP107
1498,AC091078.1
1499,MKL1
